ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Part_Of_Speech,Source,Discont_NP,Syntactic_Role
dados-09-kereramake-p-037-179,tri,"(Ape) Nka anpo=na aakoron tïïkae, nëërë tamutupë, anpo=na aakoron?",Ape	nka	anpo	n-a	V:-akoron	tï-V:-ka-e	nërë	rë	tamutupë	anpo	n-a	V:-akoron,Ape	?	where	3Sa-Cop	2-companion	Pst-Sa-say-Pst	3AnAna	Idtf	old.man	where	3Sa-Cop	2-companion,"(Ape) 'So, where is your companion?' (he) said, he, the old man, 'where is your companion?'",,[*nërë rë*] [*tamutupë*],N	Ptc	Intrg	V	N	V	Pro	Ptc	N	Intrg	V	N	…,meiraDBtrio,part,?
dados-09-kereramake-p-043-304,tri,(Ape) Ohkë tïïkae ohkë nari=ke=ta ehkë ëtamïïsewa serë wëitapi tïïkae.,Ape	oh-kë	tï-V:-ka-e	oh-kë	nari	ke	ta	eh-kë	ët-amïï-sewa	serë	wëitapi	tï-V:-ka-e,Ape	come-Imper	Pst-Sa-say-Pst	come-Imper	fear	Inst	Neg	Cop-Imper	Detr-break-Neg	3InPx	hammock	Pst-Sa-say-Pst,"(Ape) 'Come,' (she) said, 'come, don't be afraid, this won't break/snap, the hammock,' (she) said.  ",,,N	V	V	V	N	Ptc	Ptc	V	V	DPro	N	V	…,meiraDBtrio,np,
dados-09-kereramake-p-047-354,tri,"(Ape) Eeke=nai mëe jipïtï? tïïkae sera, atïtoome=nai mïra ijomirï? tïïkae.",Ape	eeke	n-ai	mëe	ji-pïtï	tï-V:-ka-e	sera	atïtoome	n-ai	mïra	i-jomi-rï	tï-V:-ka-e,Ape	how	3Sa-Cop	3AnPx	1-wife	Pst-Sa-say-Pst	like.this	why	3Sa-Cop	like.that	3-talk-Psfx	Pst-Sa-say-Pst,"(Ape) 'How is my wife?' (= 'What's with her?') he said, like this, 'why is her talk like that?' (= 'why is she talking funny?'), he said.  ",,,N	Intrg	V	DPro	N	V	A	Intrg	V	A	N	V	…,meiraDBtrio,np,
dados-09-kereramake-p-047-363,tri,(Ape) sera=taa=san=nai jipïtï anpo=nai mëe inmukuru mëesan=nai ijapo=taike.,Ape	sera	taa	san	n-ai	ji-pïtï	anpo	n-ai	mëe	i-nmuku-ru	mëesan	n-ai	i-japo	taike,Ape	like.this	Neg	?	3Sa-Cop	1-wife	where	3Sa-Cop	3AnPx	3-son-Psfx	3AnPxCl	3Sa-Cop	3-like	Neg,"(Ape) 'they are not like this, my wife, where is she, this one, her son, they aren't like this' ",,Maybe disfluent?,N	A	Ptc	Ptc	V	N	Intrg	V	DPro	N	DPro	V	Pp	Ptc	…,meiraDBtrio,?,
dados-09-kereramake-p-047-374,tri,"(Ape) Irë=mao tënepiitae, mëërë=ja turëe, werekeru=ja.",Ape	irë	mao	t-ënepiita-e	mëërë	ja	t-urë-e	werekeru	ja,Ape	3InAna	at.time	Pst-be.bored-Pst	3AnMd	Agt	Pst-talk.to-Pst	parakeet.sp	Agt,"(Ape) Then he became tired of it, and that one talked to him, werekeru.",,Good illustration of the importance of commas.,N	Pro	Pp	V	DPro	Pp	V	N	Pp	…,meiraDBtrio,n,
dados-09-kereramake-p-049-387,tri,"(Ape) Mëe inë ënmuku ëenuumane=npa tïïkae, mërë innapï apëhkë irëme, tïrëe iija, toron.",Ape	mëe	0-inë-0	ë-nmuku-0	ë-enuuma-ne	npa	tï-V:-ka-e	mërë	i-nnapï	0-apëh-kë	irëme	tï-rë-e	i-:ja	toron,Ape	3AnPx	3-abandon-Imper	2-son-Psfx	2-disturb-A	?	Pst-Sa-say-Pst	3InMd	3-fruit.food	3-get-Imper	so	Pst-make-Pst	3-Agt	put,"(Ape) 'Leave this one here, your son, he would disturb you,' he said, 'get that, his food', then, he put it (down), /toron/.",,Another good illustration of the importance of commas -- the two distinct clauses have none in between.,N	DPro	V	N	N	Ptc	V	DPro	N	V	Ptc	V	Pp	Ideo	…,meiraDBtrio,n,
dados-09-kereramake-p-049-392,tri,"(Ape) mëërë=se=manan, tïïkae, tarïpi=se=manan mëërë tïïkae.",Ape	mëërë	se	man-a-n	tï-V:-ka-e	tarïpi	se	man-a-n	mëërë	tï-V:-ka-e,Ape	3AnMd	Desid	2Sa-Cop-Dbt	Pst-Sa-say-Pst	prego	Desid	2Sa-Cop-Dbt	3AnMd	Pst-Sa-say-Pst,"(Ape) 'Do you want that one?' he said, 'do you want some monkey, that one?' he said.  ",,[*tarïpi*] *se manan* [*mëërë*],N	DPro	Pp	V	V	N	Pp	V	DPro	V	…,meiraDBtrio,y,obl
dados-09-kereramake-p-049-415,tri,(Ape) Mëe=marë inmukuhpë ijapo=ro=pa tïïkae.,Ape	mëe	marë	i-nmuku-hpë	i-japo	ro	pa	tï-V:-ka-e,Ape	3AnPx	too	3-son-P.pst	3-like	Idtf	Rpt	Pst-Sa-say-Pst,"(Ape) 'And this one also, my son, just like her (he was killed),' he said.  ",,[*mëe marë*] [*inmukuhpë*] -- part of speech?,N	DPro	Ptc	N	Pp	Ptc	Ptc	V	…,meiraDBtrio,part,obl?
dados-09-kereramake-p-051-442,tri,"(Ape) Irëme aerën=me tïïtëe, mono tuna, teese, nkan=to, tïponopï, ",Ape	irëme	aerë-n	me	tï-V:-të-e	mono	tuna	t-0-ee-se	n-ka-0-n	to	tï-ponopï-0,Ape	so	true-Ent	Ess	Pst-Sa-go-Pst	big	water	Pst-Sa-Cop-Pst	3Sa-say-Pres-Dbt	3pl	Nzr-tell-G,"(Ape) Then he really went, the river was high, they say.",,,N	Ptc	N	Ptc	V	N	N	V	V	Ptc	N	…,meiraDBtrio,np,
dados-09-kereramake-p-051-443,tri,"(Ape) teese tuna mono teese irë=mao=rë, waraku eeku mono, mono tuna teese kato tïponopï serë,",Ape	t-0-ee-se	tuna	mono	t-0-ee-se	irë	mao	rë	waraku	0-eeku	mono	mono	tuna	t-0-ee-se	ka-to	tï-ponopï-0	serë,Ape	Pst-Sa-Cop-Pst	water	big	Pst-Sa-Cop-Pst	3InAna	at.time	Idtf	fish.sp	3-stream	big	big	water	Pst-Sa-Cop-Pst	say-Circ	Nzr-tell-G	3InPx,"(Ape) the river had become big, at that time, Waraku's river was big, the river had risen, this is the telling,",,,N	V	N	N	V	Pro	Pp	Ptc	N	N	N	N	N	V	N	N	DPro	…,meiraDBtrio,np,
dados-09-kereramake-p-053-455,tri,"(Ape) Tïwërëno=ro ijuuwë teese mërë toro,",Ape	tïwërë-no	ro	i-juuwë	t-0-ee-se	mërë	toron,Ape	other-Ent	Idtf	3-on	Pst-Sa-Cop-Pst	3InMd	go.up,"(Ape) Another one was on top of it, /toro/,",,Inflected postposition *i-juuwë* and *mërë*?,N	N	Ptc	Pp	V	DPro	Ideo	…,meiraDBtrio,?,
data-01-yakari-01-p-127-022,tri,Ma... Mono weine kïrïmuku irënehka.,ma	mono	w-ei-ne	kïrïmuku	irënehka,Attn	big	1Sa-Cop-DPst	young.man	finally,"Well... I finally grew up, I became a young man.  ",,[*mono*] V [*kïrïmuku*],Ptc	N	V	N	Ptc	…,meiraDBtrio,y,s
data-01-yakari-01-p-127-025,tri,"ma, mëe wëri=se=wae, wïkane,",ma	mëe	wëri	se	w-a-e	wï-ka-ne,Attn	3AnPx	woman	Desid	1Sa-Cop-Cty	1Sa-say-DPst,"'well, I want this woman,' I said,  ",,DEM NP *se*!,Ptc	DPro	N	Pp	V	V	…,meiraDBtrio,np_arg,
mini-disc-lsmtam13set0001-marciano-little-introduction-003,tri,"Ma, jijomii=tae=rë jeka tarëno=tae nai, Minausi , irë apo. Meta?",ma	ji-jomi-V:	tae	rë	j-eka-0	tarëno	tae	n-ai	Minausi	irë	apo	m-eta-0,Attn	1-language-Psfx	by	Idtf	1-name-Psfx	Tiriyó	by	3Sa-Cop	Minausi	3InAna	like	2A-hear-I.Pst,"Well, in my own language my name, in (the language of the) Tiriyó, it is, Minausi, like this. OK? (= Did you hear?).  ",,[*jijomii tae*] ... [*tarëno tae*],Ptc	N	Pp	Ptc	N	N	Pp	V	N	Pro	Pp	V	…,meiraDBtrio,posp,obl
mini-disc-lsmtam13set0001-marciano-little-introduction-004,tri,Irëme anja oroko=me nai menjaarë ëtakëërë mëe=marë Sesu=marë.,irëme	anja	oroko	me	n-ai	menjaarë	ët-akëërë	mëe	marë	Sesu	marë,so	1+3	work	Ess	3Sa-Cop	now	Recp-with	3AnPx	with	Sérgio	with,"So we're now working together,",,[*mëe marë*] [*Sesu marë*] -- part of speech?,Ptc	Pro	N	Ptc	V	A	Pp	DPro	Ptc	N	Ptc	…,meiraDBtrio,part,obl?
mini-disc-lsmtam13set0001-marciano-little-introduction-005,tri,Serë=pë panpira=pë anja=nai oroko=me. Meta? Ir=apo.,serë	pë	panpira	pë	anja	n-ai	oroko	me	m-eta-0	irë	apo,3InPx	about	book	about	1+3	3Sa-Cop	work	Ess	2A-hear-I.Pst	3InAna	like,"We're now working about this, about this book/paper (= i.e. we're writing something). Did you hear? That's it.  ",,[*serë pë*] [*panpira pë*],DPro	Pp	N	Pp	Pro	V	N	Ptc	V	Pro	Pp	…,meiraDBtrio,posp,obl
minidisc-xxx-mukusa-nasau-sep-2000-004,tri,(Nasau) Wepekatï=irë pananakiri=ton otï këpëewa kotï=komo=se=rëkene=re wei... irë=se wei.,Nasau	w-epekatï-0	irë	pananakiri	ton	0-otï	këpëewa	k-otï	komo	se	rëkene	re	w-ei-0	irë	se	w-ei-0,Nasau	1A-trade-I.Pst	3InAna	foreigner	Col	3-meat.food	but	1+2-meat.food	P.col	Desid	only	Frus	1Sa-Cop-I.Pst	3InAna	Desid	1Sa-Cop-I.Pst,"(Nasau) I've already sold/given it as meat for the foreigners, but I want (another cow) for our food, that's what I want.",,What is the argument structure here?,N	V	Pro	N	Ptc	N	Ptc	N	Ptc	Pp	Ptc	Ptc	V	Pro	Pp	V	…,meiraDBtrio,?,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-020,tri,"Ëwë serë akoron=tao, mono=me nëturutan tarëno.",ëwë	serë	0-akoron	tao	mono	me	n-ëturu-ta-n	tarëno,later	3InPx	3-other	Loc	big	Ess	3Sa-talk-Fut-Dbt	Tiriyó,"'Later the other one like this (= meeting), the Tiriyó/Indians will talk a lot.'",,DEM NP POSTP!,A	DPro	N	Pp	N	Ptc	V	N	…,meiraDBtrio,np_arg,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-039,tri,"(Nasau) Mararija epi=ton=pë, tïwërëno=ro kïnëturu, tïpataa=pë,",…	mararija	0-epi	ton	pë	tïwërë-no	ro	kïn-ëturu	tï-pata-V:	pë,…	malaria	3-medicine	Col	about	other-Ent	Idtf	3Dpst-talk	3r-village-Psfx	about,"About malaria medicine(s), another (person) talked, about his/her own village,  ",,good example of possr possm part postp,…	N	N	Ptc	Pp	N	Ptc	V	N	Pp	…,meiraDBtrio,n,
minidisc-xxx-torohpe-iwehtoponpe-002,tri,"Ma, irëme wëene, ipërih=tae anja eekuhpë, ahn..., atï irë, Kuruni.",ma	irëme	w-ëe-ne	ipërih	tae	anja	0-eeku-hpë	***	atï	irë	Kuruni,Attn	so	1Sa-come-DPst	creek	along	1+3	3-stream-P.pst	***	wh.In	3InAna	Kuruni,"Well, then I came, along the creeks/tribuaries, our old river... what-do-you-call-it, the Kuruni (Coeroeni).  ",,[*ipërih tae*] [*anja eekuhpë*] -- interesting postpositional behavior,Ptc	Ptc	V	N	Pp	Pro	N	…	Intrg	Pro	N	…,meiraDBtrio,posp,obl
dados-07-frog-story-marciano-p-089-007,tri,"Nëënïïjan=ken mëepisi, kïrïpisi mëe mëe=rë mëe, menen?",n-ëënïï-ja-n	ken	mëe-pisi	kïrï-pisi	mëe	mëe	rë	mëe	m-ene-0-n,3Sa-sleep-Pres-Dbt	Cont	3AnPx-Dim	man-Dim	3AnPx	3AnPx	Idtf	3AnPx	2A-see-Pres-Dbt,"This little one is sleeping, this is the little man (= boy), this is him, do you see?  ",,,V	Ptc	DPro	N	DPro	DPro	Ptc	DPro	V	…,meiraDBtrio,np,
derbyshire-1965-p-013-the-origin-of-plants-002,hix,Oske kanye mokï nexeye ahakheno.,oske	ka-nye	mokï	n-exe-ye	ahakheno,thus	say-A	3AnRm	3Sa-Cop-DPst1	my.deceased.father,"My late father was the one, the one who said it thus.",,not clear what *mokï* is doing,A	N	DPro	Va	N	…,derbyshire1965textos[13],?,
derbyshire-1965-p-016-the-origin-of-night-and-darkness-002,hix,Oske kanye mokï nexeye ahakheno.,oske	ka-nye	mokï	n-exe-ye	ahakheno,thus	say-A	3AnRm	3Sa-Cop-DPst1	my.deceased.father,"My late father was the one, the one who told it thus.",,formulaic,A	N	DPro	Va	N	…,derbyshire1965textos[16],n,
derbyshire-1965-p-016-the-origin-of-night-and-darkness-006,hix,"Kamïmï thatawo, ïto yohï nehxakonï.",kamïmï	thatawo	ïto	y-ohï	n-eh-xakonï,sun	upright	there	Rel-chief	3Sa-Cop-DPst2,"The sun was standing, the ruler there (i.e. the sun remained high in the sky, as at mid-day).",,A + LK-N?,N	A	A	N	Va	…,derbyshire1965textos[16],n,
derbyshire-1965-p-017-the-origin-of-night-and-darkness-021,hix,"Tomsïrï yonyxe=tï tekonï, anaro yowto=hona.",t-omsï-rï	y-ony-xe	tï	0-te-konï	anaro	y-owto	hona,3R-daughter-Pos	Rel-see-Sup	Hrsy	3Sa-go-DPst2	other	Rel-village	Dir,"He went to the village of another, purposing to see his daughter.",,example of possessive construction + POSTP,N	Vt	Ptc	Va	N	N	Pp	…,derbyshire1965textos[17],n,
derbyshire-1965-p-018-the-origin-of-night-and-darkness-051,hix,"Yuwa=wyarono=hatï, enï nehxakonï.",yuwa	wyaro-no	hatï	0-enï	n-eh-xakonï,flute	like-Nzr	Hrsy	3-container	3Sa-Cop-DPst2,Its container was a thing like a flute.,,Is this a possessive construction?,N	N	Ptc	N	Va	…,derbyshire1965textos[18],?,
derbyshire-1965-p-019-the-origin-of-night-and-darkness-081,hix,"Amna nawanyeko=ha, mosonï hanahtorï=wya, ketxkonï=hatï, kekonï=hatï noro horykomo.",amna	n-awanye-ko	ha	mosonï	0-hana-hto-rï	wya	0-ke-txkonï	hatï	0-ke-konï	hatï	noro	horykomo,1+3	3Sa-get.dark-RPst1	Intens	3AnPx	Rel-ear-Neg.Act-Pos	Agt	3Sa-say-DPst2:Col	Hrsy	3Sa-say-DPst2	Hrsy	3AnAna	chief.man,"""We were in darkness, through the foolishness of this one,"" they said, he, the chief man, said.",,"This one is interesting because it is *noro* and not a demonstrative. Also, the translation has a comma there.",Pro	Vo	Ptc	DPro	N	Pp	Va	Ptc	Va	Ptc	DPro	N	…,derbyshire1965textos[19],np,
derbyshire-1965-p-023-the-origin-of-the-moon-024,hix,"Nuxe=rma mokro raheno=ha, kekonï=hatï, wosï.",nuxe	rma	mokro	r-ahe-no	ha	0-ke-konï	hatï	wosï,1:yngr.sblng	Same	3AnMd	1O-seduce-IPst	Intens	3Sa-say-DPst2	Hrsy	woman,"""My younger brother (is) the one (who) seduced me,"" said the woman.",,[*nuxe rma*] [*mokro*],N	Ptc	DPro	Vt	Ptc	Va	Ptc	N	…,derbyshire1965textos[23],part,a
derbyshire-1965-p-023-the-origin-of-the-moon-025,hix,"Royananïtho mokro rohoko naye, kekonï=hatï, wosï=ha.",ro-yana-nï-tho	mokro	ro-hoko	n-a-ye	0-ke-konï	hatï	wosï	ha,1-relative-Pos-Pst	3AnMd	1-about	3Sa-Cop-DPst1	3Sa-say-DPst2	Hrsy	woman	Intens,"""My blood relation (within the forbidden degrees) is the one occupied with me,"" said the woman.",,"'is the one occupied with me’ > nonverbal predication, without any (pseudo-)nps?",N	DPro	Pp	Va	Va	Ptc	N	Ptc	…,derbyshire1965textos[23],n,
derbyshire-1965-p-024-the-origin-of-the-moon-029,hix,Thenyenohnï=mak=hatï waywï.,thenyenohnï	mak	hatï	waywï,many	Advers	Hrsy	arrow,The arrows (were) ones that were very many.,,nvp w/o copula,N	Ptc	Ptc	N	…,derbyshire1965textos[24],n,
derbyshire-1965-p-025-the-origin-of-the-moon-060,hix,Oske kanye mokï nexeye ahakheno.,oske	ka-nye	mokï	n-exe-ye	ahakheno,thus	say-A	3AnRm	3Sa-Cop-DPst1	my.deceased.father,"My late father was the one, the one who said it thus.",,formulaic,A	N	DPro	Va	N	…,derbyshire1965textos[25],n,
derbyshire-1965-p-025-the-origin-of-the-moon-070,hix,Oske ïtosaho=tï mokro.,oske	ï-to-saho	tï	mokro,thus	Gen-go-Gen.O/S	Hrsy	3AnMd,He (is) the one who went like that.,,nvp w/o copula,A	N	Ptc	DPro	…,derbyshire1965textos[25],n,
derbyshire-1965-p-030-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-067,hix,"A..., onokna=rma kana=heno yehtoko=hatï.",a	onokn	rma	kana	heno	y-eh-0-toko	hatï,ah!	creature	Same	fish	Quant	Rel-Cop-Nzr-Simult	Hrsy,"Sound expressing, surprise, (at the) creatures, when their being so many fish.",,[*onokna rma*] [*kana heno*],Intj	N	Ptc	N	Ptc	A	Ptc	…,derbyshire1965textos[30],part,poss
derbyshire-1965-p-037-the-buzzard-people-and-their-servant-the-sloth-004,hix,"Mararï, taknyohnye, ketxkonï=hatï, ïwya, noro=heno=wya, xofrye=heno=wya=ha.",mararï	t-ak-nyoh-nye	0-ke-txkonï	hatï	ï-wya	noro	heno	wya	xofrye	heno	wya	ha,field	1+2A-burn-Tvzr-Hort	3Sa-say-DPst2:Col	Hrsy	3-Dat	3AnAna	Dead	Dat	sloth.sp	Dead	Dat	Intens,"""Let us burn it, the field,"" they said to him, to that one, to the sloth.",,Interesting increasing elaboration,N	Vt	Va	Ptc	Pp	DPro	Ptc	Pp	N	Ptc	Pp	Ptc	…,derbyshire1965textos[37],n,
derbyshire-1965-p-039-the-buzzard-people-and-their-servant-the-sloth-076,hix,"Onï=tï enyhoryeko, pepe yahonï, kekonï=hatï ïhetxe.",onï	tï	0-enyhorye-ko	epepe	y-aho-nï	0-ke-konï	hatï	ï-he-txe,3InPx	Hrsy	3-make-Imper	1:oldr.brthr	Rel-stool-Pos	3Sa-say-DPst2	Hrsy	3-wife-Pos,"""Make this, my older brother's seat,"" said his wife.",,Suspicious comma,DPro	Ptc	Vt	N	N	Va	Ptc	N	…,derbyshire1965textos[39],n,
derbyshire-1965-p-040-the-buzzard-people-and-their-servant-the-sloth-109,hix,"Onï=ha, tïmko=ha, oyeheka=wya=ha, kekonï=hatï.",onï	ha	t-ïm-ko	ha	oy-eheka	wya	ha	0-ke-konï	hatï,3InPx	Intens	Gen-give-Imper	Intens	2-brother	Dat	Intens	3Sa-say-DPst2	Hrsy,"""Give this to your brother,"" he said.",,Many commas,DPro	Ptc	Vt	Ptc	N	Pp	Ptc	Va	Ptc	…,derbyshire1965textos[40],n,
derbyshire-1965-p-045-the-origin-of-mawarye-and-woxka-052,hix,"Ïro=yarye toye=ha, kamarayana=komo yosamarï=yarye, sïh sïh sïh sïh sïh.",ïro	y-arye	0-to-ye	ha	kamara-yana	komo	y-osama-rï	y-arye	sïh	sïh	sïh	sïh	sïh,3InAna	Rel-Perl	3Sa-go-DPst1	Intens	jaguar-people	Col	Rel-path-Pos	Rel-Perl	walk	walk	walk	walk	walk,"She went along it, along the trail of the jaguar people, action of walking.",,good example of [[N Ptc] N],DPro	Pp	Va	Ptc	N	Ptc	N	Pp	Ideo	Ideo	Ideo	Ideo	Ideo	…,derbyshire1965textos[45],n,
derbyshire-1965-p-045-the-origin-of-mawarye-and-woxka-053,hix,"Ïhpo owto=hona, nyamoro=waka=hatï, kamarayana=komo=waka, ïhpo.",ïhpo	owto	hona	nyamoro	waka	hatï	kamara-yana	komo	waka	ïhpo,come.out	village	Dir	3AnAnaCol	Illat	Hrsy	jaguar-people	Col	Illat	come.out,"Action of coming out into the open, into the village, to them, to the jaguar people, action of coming out into the open.",,elaboration pattern,Ideo	N	Pp	Pro	Pp	Ptc	N	Ptc	Pp	Ideo	…,derbyshire1965textos[45],n,
derbyshire-1965-p-048-the-origin-of-mawarye-and-woxka-117,hix,"Henta ïro=ha, uhputhuthuru, ketxkonï=hatï.",henta	ïro	ha	u-hputhu-thuru	0-ke-txkonï	hatï,where	3InAna	Intens	3-shell-Pst:Pos	3Sa-say-DPst2:Col	Hrsy,"""Where (is) it, its shell ?"", they said.",,afterthought,Intrg	DPro	Ptc	N	Va	Ptc	…,derbyshire1965textos[48],n,
derbyshire-1965-p-049-the-origin-of-mawarye-and-woxka-153,hix,"Onï=ha otxetho, ketxkonï=hatï, ïwya=ha, notxwakomo=wya=ha.",onï	ha	otxetho	0-ke-txkonï	hatï	ï-wya	ha	notxwakomo	wya	ha,3InPx	Intens	grandmother	3Sa-say-DPst2:Col	Hrsy	3-Dat	Intens	old.woman	Dat	Intens,"This (is it), old woman,"" they said to her, to the grandmother.",,elaboration pattern,DPro	Ptc	N	Va	Ptc	Pp	Ptc	N	Pp	Ptc	…,derbyshire1965textos[49],n,
